"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon","count","type"
"University of Arizona","Insects","31c140bc-e6f1-4acc-beaf-b825cf288ad9","{""recordset"":""31c140bc-e6f1-4acc-beaf-b825cf288ad9""}","UA","UAIC","urn:uuid:2caeda69-acf1-433e-9578-fc558c3f2f05","","http://www.uainsectcollection.com/","http://www.uainsectcollection.com/databases.html","Significant holdings include Coleoptera (beetles), Hemiptera (true bugs), Lepidoptera (butterflies and moths), and Orthoptera (grasshoppers and crickets). Over 80% of these specimens are identified to the species-level. Hymenoptera (ants, wasps, and bees) are also well represented, but their identification levels vary considerably from family to family. Five hundred thousand specimens of arachnids, crustaceans, termites, ants, and insect larvae are preserved in alcohol. The slide collection includes preparations of over 25,000 mites, 300 thrips, and sizable collections of mosquitos and ant larvae. The geographic scope of the collection covers all of the southwestern US with special concentration on the Sonoran Desert Region and adjacent tropical biomes of northwestern Mexico. The footprint of the Sonoran Desert Region circumscribes many non-desert areas with rich geologic histories that provide the physical framework for past vicariance and speciation events for many arthropod lineages. A great variety of natural habitats occur here, including coastal and inland sand dunes, dry deserts, thornscrub, tropical deciduous forest, riparian corridors, and upland habitats that include the southern Colorado Plateau and the Sky Islands, with a vertical succession of biomes from desert scrub to montane forest and subalpine conifer forest.","",NA,NA,"Significant holdings include Coleoptera (beetles), Hemiptera (true bugs), Lepidoptera (butterflies and moths), and Orthoptera (grasshoppers and crickets). Over 80% of these specimens are identified to the species-level. Hymenoptera (ants, wasps, and bees) are also well represented, but their identification levels vary considerably from family to family. Five hundred thousand specimens of arachnids, crustaceans, termites, ants, and insect larvae are preserved in alcohol. The slide collection includes preparations of over 25,000 mites, 300 thrips, and sizable collections of mosquitos and ant larvae.","The geographic scope of the collection covers all of the southwestern US with special concentration on the Sonoran Desert Region and adjacent tropical biomes of northwestern Mexico. The footprint of the Sonoran Desert Region circumscribes many non-desert areas with rich geologic histories that provide the physical framework for past vicariance and speciation events for many arthropod lineages. A great variety of natural habitats occur here, including coastal and inland sand dunes, dry deserts, thornscrub, tropical deciduous forest, riparian corridors, and upland habitats that include the southern Colorado Plateau and the Sky Islands, with a vertical succession of biomes from desert scrub to montane forest and subalpine conifer forest.","","Wendy Moore","Curator","wmoore@email.arizona.edu","Department of Entomology, Forbes 410","Tucson","Arizona","85721-0036","Department of Entomology, Forbes 410","Tucson","Arizona","85721-0036","urn:uuid:123e853b-916b-4f06-b6e3-aae999ff5db4","","","","","","",32.247,-110.992,96006,"arthropoda"
"Cleveland Museum of Natural History","Invertebrate Zoology","a8d88237-2f62-4ad5-b1f7-ab13ace304df","{""recordset"":""a8d88237-2f62-4ad5-b1f7-ab13ace304df""}","CLEV","Insects","urn:uuid:f76b50c0-fc8c-41bb-b67d-278edad10d67","","https://www.cmnh.org/discover/science/invert-zoo","http://symbiota4.acis.ufl.edu/scan/portal/collections/misc/collprofiles.php?collid=95","","",83677,TRUE,"","","","Gavin Svenson","Curator","gsvenson@cmnh.org","1 Wade Oval, University Circle","Cleveland","Ohio","44106","1 Wade Oval, University Circle","Cleveland","Ohio","44106","urn:uuid:459bfca4-320a-4625-8eb1-ee54c6d1ef81","","","","","","",41.5074,-81.6072,95811,"arthropoda"
"Arizona State University, Frank F. Hasbrouck Insect Collection","Insects","ab4b6a2b-a90a-44ce-95a1-2c44c911fcc6","{""recordset"":""ab4b6a2b-a90a-44ce-95a1-2c44c911fcc6""}","ASU","ASUHIC","urn:uuid:ed26928d-9307-4b11-993c-c20927cf5228","http://grbio.org/cool/es78-wfwz","http://taxonbytes.org/asuhic/","http://symbiota4.acis.ufl.edu/scan/portal/collections/misc/collprofiles.php?collid=1","","",NA,NA,"","","","Nico Franz","Curator","nico.franz@asu.edu","School of Life Sciences, P.O. Box 874501","Tempe","Arizona","85287-4501","School of Life Sciences, P.O. Box 874501","Tempe","Arizona","85287-4501","urn:uuid:313ac73c-6372-41a6-a1da-bf270c2b1b2e","","","","","","",33.4285,-111.9349,91207,"arthropoda"
"Bernice Pauahi Bishop Museum","Entomology","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":[""a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a""],""collectioncode"":[""ENT"",""ENTTYP""]},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""bpbm""}]","BPBM","ENT, ENTTYP","urn:uuid:ef629c33-d504-4c92-9183-0dcbfe11efa3","","http://www.bishopmuseum.org/research/natsci/ento/index.html","http://www.bishopmuseum.org/research/natsci/ento/entodbhome.html","Hawaii, New Guinea, Southeast Asia, the Philippines, Oceania","",14000000,NA,"","Hawaii, New Guinea, Southeast Asia, the Philippines, Oceania","14000000","James Boone","Collection Manager","jamesb@bishopmuseum.org","1525 Bernice Street","Honolulu","Hawaii","96817","1525 Bernice Street","Honolulu","Hawaii","96817","urn:uuid:cbcf115d-5f3e-4839-9579-b5c47d2beb42","","","","","","",21.333,-157.8693,89457,"arthropoda"
"New Mexico State University, Collection of Arthropods","Arthropods","ff111763-e72d-4f24-8914-b5b2dd94908c","{""recordset"":""ff111763-e72d-4f24-8914-b5b2dd94908c""}","NMSU","","urn:uuid:935593cf-eb3d-4cf2-adc6-7828218f932d","","http://arthropods.nmsu.edu/","","","",NA,NA,"","","","Scott Bundy","Director","cbundy@nmsu.edu","945 College Avenue, Department of Entomology, Plant Pathology, Weed Science","Las Cruces","New Mexico","88003","945 College Avenue, Department of Entomology, Plant Pathology, Weed Science","Las Cruces","New Mexico","88003","urn:uuid:5140fcc8-46aa-4505-b78c-006ed8998433","","","","","","",32.7751,-108.2833,88493,"arthropoda"
"Academy of Natural Sciences of Drexel University","Entomology","e73fedf0-90ee-4c6d-88dd-49399878fc54, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""e73fedf0-90ee-4c6d-88dd-49399878fc54""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""ansp""}]","ANSP","","urn:uuid:048130fb-f013-4297-abfe-648a2bf4b28e","","http://www.ansp.org/research/systematics-evolution/collections/entomology/","http://clade.ansp.org/entomology/","Orthoptera, Mantodea, Phasmida, Blattodea, Lepidoptera, Protura, Diplura, Historical (Type), Nearctic Aquatic Insects, Diptera (Tipuloidea, Ephydridae, Chironomidae), Titian Ramsy Peale Butterfly and Moth Collection, Worldwide","",3500000,NA,"Orthoptera, Mantodea, Phasmida, Blattodea, Lepidoptera, Protura, Diplura, Historical (Type), Nearctic Aquatic Insects, Diptera (Tipuloidea, Ephydridae, Chironomidae), Titian Ramsy Peale Butterfly and Moth Collection,","Worldwide","3500000","Jon Gelhaus","Curator, Chair","jkg78@drexel.edu","Department of Entomology , 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","urn:uuid:305b87cb-0ddf-4721-ab53-31820e511e35","","","","","","",39.958,-75.1767,78277,"arthropoda"
"University of California Riverside, Entomology Research Museum","Entomology","5975bbda-cd92-4084-8a09-ce1e28e6164f","{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""ucr""}","UCR","","urn:uuid:2dee99b4-57c1-44e9-9e2f-9bee47fca39f","","http://entmuseum.ucr.edu/","http://entmuseum.ucr.edu/insect_databases.htm","","",NA,NA,"","","","Doug Yanega","Senior Museum Scientist","dyanega@ucr.edu","417 Entomology Bldg.","Riverside","California","92521","417 Entomology Bldg.","Riverside","California","92521","urn:uuid:5eb51140-80e9-4d65-bb14-3e753daed011","","","","","","",33.9884,-117.335,77353,"arthropoda"
"University of Colorado Museum of Natural History","Paleontology - Invertebrates and Plants","d621e959-2633-4ec1-a2a2-5d97cd818b47","{""recordset"":""d621e959-2633-4ec1-a2a2-5d97cd818b47""}","UCM","IP","urn:uuid:457f02e6-0608-4731-a834-d8c45b7fa36d","","https://cumuseum.colorado.edu/research/paleontology/invertebrates","https://cumuseum.colorado.edu/research/paleontology/invertebrates/database","","",NA,NA,"","","","Talia Karim","Collection Manager","Talia.Karim@colorado.edu","University of Colorado Museum, Henderson Building, 15th and Broadway","Boulder","Colorado","80309-0218","University of Colorado Museum, Henderson Building, 15th and Broadway","Boulder","Colorado","80309-0218","urn:uuid:95b63d9a-13b5-4124-8fb1-54d3ab4be3bc","","","","","","",40.0373,-105.2821,76804,"arthropoda"
"Ohio State University, Museum of Biological Diversity","Acarology","95773ebb-2f5f-43f0-a652-bfd8d5f4707a","{""recordset"":""95773ebb-2f5f-43f0-a652-bfd8d5f4707a""}","OSAL","","urn:uuid:0e3325c8-260a-4551-9316-b51f19e604bc","urn:lsid:biocol.org:col:34094","http://www.biosci.ohio-state.edu/~acarolog/collection/index.html","http://osuc.biosci.ohio-state.edu/Acarology/","taxonomic strength: Gamasina, basal Parasitiformes, Lepidoptera associated mites, Harpirhynchidae global","",110000,NA,"taxonomic strength: Gamasina, basal Parasitiformes, Lepidoptera associated mites, Harpirhynchidae","global","110000","Hans Klompen","Director","klompen.1@osu.edu","1315 Kinnear Road","Columbus","Ohio","43212","","Columbus","Ohio","43212","urn:uuid:5f0e4e8a-184f-49fb-95b5-09af872598f2","","","","","","",39.9871,-83.0428,69846,"arthropoda"
"Northern Arizona University, Colorado Plateau Biodiversity Center","Arthropods","69037495-438d-4dba-bf0f-4878073766f1","{""recordset"":""69037495-438d-4dba-bf0f-4878073766f1""}","NAUF","CPMAP","urn:uuid:2b61cdec-6feb-48d8-b087-74a268fd8008","http://grbio.org/cool/v0yb-0mxr","http://nau.edu/Merriam-Powell/Biodiversity-Center/Museum-of-Arthropod-Biodiversity/","http://nau.edu/Merriam-Powell/Biodiversity-Center/Museum-of-Arthropod-Biodiversity/Collections-Database/","","",NA,NA,"","","","Neil Cobb","Curator","Neil.Cobb@nau.edu","Colorado Plateau Biodiversity Center, Northern Arizona University, Campus Box 5640","Flagstaff","Arizona","86011","Colorado Plateau Biodiversity Center, Northern Arizona University, Campus Box 5640","Flagstaff","Arizona","86011","urn:uuid:f8665f24-4420-4d98-a7fc-c22095a687e9","","","","","","",35.1801,-111.655,68943,"arthropoda"
"Field Museum of Natural History","Fossil Invertebrates","b26fa674-6300-4ea0-a8e3-fc0ce32b5226","{""recordset"":""b26fa674-6300-4ea0-a8e3-fc0ce32b5226""}","FMNH","Fossil Invertebrates","urn:uuid:0a8e9a60-6a23-477d-9cdc-c84ea70837ad","","http://fieldmuseum.org/explore/department/geology/fossil-invertebrates","","Mollusca, Brachiopoda, Echinodermata, Cnidaria, Arthropoda Paleozoic of the North America mid-continent in particular Illinois, Michigan, Iowa, Appalachian Basins.","",320000,NA,"Mollusca, Brachiopoda, Echinodermata, Cnidaria, Arthropoda","Paleozoic of the North America mid-continent in particular Illinois, Michigan, Iowa, Appalachian Basins.","320000","Paul Mayer","Collections Manager","pmayer@fieldmuseum.org","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","urn:uuid:ea4f0640-ef20-40aa-b359-166f07c7492a","","","","","","",41.8691,-87.6176,62149,"arthropoda"
"Pennsylvania State University, Frost Entomological Museum","Entomology","53feaa83-e3b6-4ad3-8597-293b153e7548","{""recordset"":""53feaa83-e3b6-4ad3-8597-293b153e7548""}","PSUC","ENTO","urn:uuid:17391cff-f921-4e66-84ab-a96a243e8c0d","","http://ento.psu.edu/facilities/frost","","Coleoptera, Diptera, Lepidoptera Central eastern ans south eastern USA, particualrly Pennsylvania and Florida","",2000000,NA,"Coleoptera, Diptera, Lepidoptera","Central eastern ans south eastern USA, particualrly Pennsylvania and Florida","2000000","István Mikó","Research Associate","izm2@psu.edu","Department of Entomology, 501 ASI Building, U","University Park","Pennsylvania","16802","Department of Entomology, 501 ASI Building, U","University Park","Pennsylvania","16802","urn:uuid:24de0255-6390-43f2-ad52-7e6fecf0a9ae","","","","","","",40.7997,-77.8623,61119,"arthropoda"
"University of California Davis, Bohart Museum of Entomology","Entomology","3c919328-94fd-4657-b81d-21f4707253ed, 48b4b812-c52e-4f47-9327-e761f6fc2e28","{""recordset"":[""3c919328-94fd-4657-b81d-21f4707253ed"",""48b4b812-c52e-4f47-9327-e761f6fc2e28""]}","UCD","BMEC","urn:uuid:bca0e509-0a76-4c49-a89e-d7f69e2b1fd3","","http://bohart.ucdavis.edu/","http://museums.ucdavis.edu/bohart.aspx","","",NA,NA,"","","","Lynn Kimsey","Director","lskimsey@ucdavis.edu","1124 Academic Surge Bldg.","Davis","California","95616","1124 Academic Surge Bldg.","Davis","California","95616","urn:uuid:394ae31d-566e-4abd-876f-c4335457545c","","","","","","",38.8027,-121.2321,59918,"arthropoda"
"University of Utah, Natural History Museum of Utah","Entomology","6539877e-82dc-485c-ad3d-038f383d5431","{""recordset"":""6539877e-82dc-485c-ad3d-038f383d5431""}","UMNH","ENT","urn:uuid:bcaaa753-772d-4926-98f5-8f6e209474ae","","http://nhmu.utah.edu/collections/entomology","http://symbiota4.acis.ufl.edu/scan/portal/index.php","tiger beetles, cicadas, non aquatics, tarantulas, broad sampling of orders. Western US, Wasatch Front area, dating back to the 1890s. Collection is being databased into the Southwestern Collection of Arthopods Network, so info is being added to online database daily (as of April 2015). primarily western United States","",250000,NA,"tiger beetles, cicadas, non aquatics, tarantulas, broad sampling of orders. Western US, Wasatch Front area, dating back to the 1890s. Collection is being databased into the Southwestern Collection of Arthopods Network, so info is being added to online database daily (as of April 2015).","primarily western United States","250000","Christy Bills","Collections Manager","cbills@nhmu.utah.edu","Utah Museum of Natural History, 301 Wakara Way","Salt Lake City","Utah","84108-1214","301 Wakara Way","Salt Lake City","Utah","84108-1214","urn:uuid:26f00cec-b7d6-4676-8e37-0b189db7636e","","","","","","",40.7615,-111.8266,52339,"arthropoda"
"University of Delaware","Insects","2c662e9e-cdc6-4bbf-93a5-1566ceca1af3, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""2c662e9e-cdc6-4bbf-93a5-1566ceca1af3""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""udcc""}]","UD","UDCC","urn:uuid:002a70a8-ff18-11e4-9eb2-002315492bbc","http://grbio.org/cool/jwkg-m8hx","","","Hemiptera: Auchenorrhyncha; also biting flies, Hydrophilidae, Formicidae, bees, reasonable collections of Heteroptera and Coleoptera; mostly pinned material Primarily Mid-Atlantic states, but diverse holdings from elsewhere","",NA,NA,"Hemiptera: Auchenorrhyncha; also biting flies, Hydrophilidae, Formicidae, bees, reasonable collections of Heteroptera and Coleoptera; mostly pinned material","Primarily Mid-Atlantic states, but diverse holdings from elsewhere","","Charles R. Bartlett","Collection Manager","Bartlett@udel.edu","531 S College Ave., 250 Townsend Hall","Newark","Delaware","19716","531 S College Ave., 250 Townsend Hall","Newark","Delaware","19716","urn:uuid:85917719-7ef7-4a56-961b-73f33a30d78a","","","","","","",39.6697,-75.7529,46469,"arthropoda"
"University of New Mexico, Museum of Southwestern Biology","Arthropods","7fcdca8e-7469-480c-8516-cce4e24c37c9","{""recordset"":""7fcdca8e-7469-480c-8516-cce4e24c37c9""}","MSB","","urn:uuid:05aae347-644b-4c97-9d2d-80d1a7111b23","","http://msb.unm.edu/arthropods/index.html","http://symbiota1.acis.ufl.edu/scan/portal/index.php","","",NA,NA,"","","","Sandra Brantley","Collection Manager","sbrantle@unm.edu","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","urn:uuid:83441270-bc50-4e1d-9eb9-42d4e3255bf4","","","","","","",35.0832,-106.6218,45482,"arthropoda"
"University of Kentucky, College of Agriculture, Department of Entomology","Entomology","5975bbda-cd92-4084-8a09-ce1e28e6164f","{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""uk""}","UK","","urn:uuid:4542846f-c415-4673-9be4-de463bd55103","","https://www.ca.uky.edu","","","",NA,NA,"","","4000","","","","S123 Ag Science – North","Lexington","Kentucky","40546-0091","","Lexington","Kentucky","40546-0091","","","","","","","",37.3554,-84.3423,42883,"arthropoda"
"Denver Museum of Nature & Science","Arachnids","5aac25d2-bcfb-4084-a700-584311ea539d","{""recordset"":""5aac25d2-bcfb-4084-a700-584311ea539d""}","DMNS","ZA","urn:uuid:f74f334a-d4a6-47a9-8d21-a1bd32489855","","http://www.dmns.org/science/collections/dmns-zoology-collections/","http://symbiota4.acis.ufl.edu/scan/portal/index.php","Worldwide in scope though with a focus on the American West, the Arachnology collection at the Denver Museum of Nature & Science comprises over 50,000 specimen lots and is growing every year. The holdings include primary types and paratypes. Holdings are particularly strong in Colorado species and in Solifugae, with 13 primary types and 65 paratypes. The Colorado Spider Survey, initiated at DMNS in 1999, has vastly expanded our knowledge of the Colorado spider fauna. The collection is housed in the Avenir Collections Center - an onsite state-of-the-art museum collections facility.","",50000,TRUE,"The strengths are in the orders Araneae and Solifugae with a strong collection of Scorpiones. We also have holdings of the other orders of Arachnida.","Worldwide but with a focus on the Rocky Mountain / Great Plains ecoregions.","50,000 specimen lots","Paula Cushing","Curator of Invertebrate Zoology","Paula.Cushing@dmns.org","2001 Colorado Blvd","Denver","Colorado","80205","2001 Colorado Blvd","Denver","Colorado","80205","urn:uuid:75a457ae-5214-4b6a-9eab-178d6cf4a780","","","","","","",39.7583,-104.9406,38668,"arthropoda"
"Bernice Pauahi Bishop Museum","Invertebrate Zoology","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","{""recordset"":""a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a"",""collectioncode"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""K"",""L"",""M"",""N"",""P"",""R"",""S"",""SC"",""T"",""U"",""W"",""X"",""Y""]}","BPBM","A, B, C, D, E, F, G, H, K, L, M, N, P, R, S, SC, T, U, W, X, Y","urn:uuid:27283e37-8041-45d7-9407-29ce6fddbbc6","http://grbio.org/cool/z8p4-k4k6","http://www.bishopmuseum.org/research/natsci/invert/index.html","http://www.bishopmuseum.org/research/natsci/invert/databases.html","Hawaii, Pacific islands","",25000,NA,"","Hawaii, Pacific islands","25000","Holly Bolick","Collections Manager","holly@bishopmuseum.org","1525 Bernice Street","Honolulu","Hawaii","96817","1525 Bernice Street","Honolulu","Hawaii","96817","urn:uuid:cbcf115d-5f3e-4839-9579-b5c47d2beb42","","","","","","",21.333,-157.8693,34730,"arthropoda"
"Purdue University, Purdue Entomological Research Collection","Entomology","47ac1531-5213-4848-a32d-5bb396ab9348, 9354db6c-4019-4351-a822-cb87b1b73a44","{""recordset"":[""47ac1531-5213-4848-a32d-5bb396ab9348"",""9354db6c-4019-4351-a822-cb87b1b73a44""]}","PURD","PERC","urn:uuid:24a9fb44-0484-11e5-b0ee-002315492bbc","http://www.entm.purdue.edu/PERC/","","","Ephemeroptera, Coleoptera, some Hymenopteran groups Global, emphasis on Indiana.","",2000000,NA,"Ephemeroptera, Coleoptera, some Hymenopteran groups","Global, emphasis on Indiana.","2000000","Jenn Zaspel","Collection Manager","jzaspel@purdue.edu","Dept. of Entomology, Purdue University, 901 W. State St.","West Lafayette","Indiana","47907","901 W. State St.","West Lafayette","Indiana","47907","urn:uuid:f7c9ea64-aaae-43e0-8ed4-1dfcb68c1ba6","","","","","","",40.4241,-86.9149,32119,"arthropoda"
"Archbold Biological Station","Entomology","db4bb0df-8539-4617-ab5f-eb118aa3126b","{""recordset"":""db4bb0df-8539-4617-ab5f-eb118aa3126b""}","ABS","","urn:uuid:2b41a4ca-0809-42c3-92bc-fd8a0b9a6ff5","urn:lsid:biocol.org:col:32937","http://www.archbold-station.org/","","","",NA,NA,"","","","Mark A. Deyrup","Curator","Mdeyrup@archbold-station.org","123 Main Dr.","Venus","Florida","33862","123 Main Dr.","Venus","Florida","33862","urn:uuid:374eb298-62ca-4cd5-9a3f-d1a08629f0de","","","","","","",28.0219,-81.9001,31532,"arthropoda"
"California Department of Food and Agriculture, California State Collection of Arthropods","Arthropods","5975bbda-cd92-4084-8a09-ce1e28e6164f","{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""csca""}","CDFA","CSCA","urn:uuid:56ae332b-35f8-44d5-ba94-e2a0c8ea26dd","","http://www.cdfa.ca.gov/plant/ppd/csca.html","?","Coleoptera, Diptera, Hymenoptera, Lepidoptera, Hemiptera California","",1500000,NA,"Coleoptera, Diptera, Hymenoptera, Lepidoptera, Hemiptera","California","1500000","Jackie Kishmirian","Collections Manager","jkishmirian@cdfa.ca.gov","CDFA - Plant Pest Diagnostics Branch, 3294 Meadowview Rd.","Sacramento","California","95832","CDFA - Plant Pest Diagnostics Branch, 3294 Meadowview Rd.","Sacramento","California","95832","urn:uuid:9fe09300-9eaf-428b-9ee6-b47bdd9adcaa","","","","","","",38.4813,-121.5051,29120,"arthropoda"
"Staten Island Institute of Arts and Sciences / Staten Island Museum","Entomology","5975bbda-cd92-4084-8a09-ce1e28e6164f","{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""SIIS""}","SIIS","","urn:uuid:2523c985-5ba8-4d6d-908b-db7f525582a7","","","","","",NA,NA,"","","","Audrey Malachowsky","Collections Manager","amalachowsky@statenislandmuseum.org","75 Stuyvesant Pl.","Staten Island","New York","10301-1998","75 Stuyvesant Pl.","Staten Island","New York","10301-1998","urn:uuid:8d3ca827-8fa0-4537-ba0b-5c83ad3f9774","","","","","","",40.6275,-74.0944,27340,"arthropoda"
"Chicago Academy of Sciences","Invertebrates, Entomology","f93c403b-d0f0-4be1-8a4b-ed9aa3b513e3","{""recordset"":""f93c403b-d0f0-4be1-8a4b-ed9aa3b513e3""}","CHAS","Insect specimens","urn:uuid:4968fdc3-f840-48bc-a7d6-55f65b1672ea","","http://www.naturemuseum.org/the-museum/collections/invertebrates","http://arctos.database.museum/","The Chicago Academy of Sciences’ entomology collection consists primarily of insect species from North and Central America, with a focus on the Midwestern United States. The Academy has had several prominent entomologists in its history, primarily between 1930 and 1960. Donald C. Lowrie (1910-2000) studied spiders and their role in local dune ecosystems. Leonora K. Gloyd (b. 1902) conducted fieldwork on Odonata. Orlando Park published on the taxonomy and ecology of Coleoptera, particularly the Pselaphidae, in the 1940s. Stanley Auerbach researched centipedes in the Chicago area during the 1950s. Other major collectors include Andrew Bolter (collected between 1879-1910) and Harry D. Sicher (collected between 1940 and 1970), both of whom collected primarily Lepidoptera. The majority of the non-Lepidopteran specimens were collected in the Midwest and Western Great Lakes regions, with Canada, California, Florida, and the Southwestern U.S. also represented. Lepidoptera primarily include species from the Midwestern U.S. as well as Canada, Mexico, Central and South America, Alaska, California, Florida, and the Southwestern U.S. Temporal Coverage of this collection is 1834-Present, with the bulk of the non-Lepidoptera specimens collected between 1872 and 1911, and the bulk of Lepidopteran specimens collected between 1891 and 1964.","",NA,NA,"Majority of collection consists of Lepidoptera. Aside from Lepidoptera, the insect orders Odonata, Hemiptera, Coleoptera, Trichoptera, Diptera, Hymenoptera, Blattodea, and Mantodea are represented, as well as millipedes, centipedes, and arachnids. Specimens date from 1834-present. The bulk of the non-Lepidoptera specimens were collected between 1872 and 1911. The bulk of Lepidopteran specimens were collected between and 1891-1910 and 1940-1964.","The majority of the non-Lepidopteran specimens were collected in the Midwest and Western Great Lakes regions, with Canada, California, Florida, and the Southwestern U.S. also represented. Lepidoptera primarily include species from the Midwestern U.S. as well as Canada, Mexico, Central and South America, Alaska, California, Florida, and the Southwestern U.S.","","Dawn Roberts","Director of Collections","droberts@naturemuseum.org","2430 North Cannon Drive","Chicago","Illinois","60614","Museum Collections and Archives, 2430 North Cannon Drive","Chicago","Illinois","60614","urn:uuid:93877ee6-76bc-4ca0-8ee6-7eae72061ed6","","","","","","",41.9146,-87.6276,26130,"arthropoda"
"University of Idaho, William F. Barr Entomological Museum","Entomology","b985f284-eac5-4efe-8a7c-c726cdf7cf33","{""recordset"":""b985f284-eac5-4efe-8a7c-c726cdf7cf33""}","WFBM","WFBM","urn:uuid:c70234e8-6f17-4204-8cb3-9de6e99cfc7d","http://grbio.org/cool/brtj-zfcn","https://www.uidaho.edu/cals/pses/research-and-extension/entomological-museum","http://symbiota4.acis.ufl.edu/scan/portal/collections/misc/collprofiles.php?collid=89","Coleoptera (Buprestidae, Cleridae, Cicindelidae, Cerambycidae), Lepidoptera (butterflies), aquatic insects. Mainly Nearctic","",1,NA,"Coleoptera (Buprestidae, Cleridae, Cicindelidae, Cerambycidae), Lepidoptera (butterflies), aquatic insects.","Mainly Nearctic","over 1 million","Luc Leblanc","Curator and collection manager","leblancl@uidaho.edu","University of Idaho, PSES Department 875 Perimeter Drive MS 2339","Moscow","Idaho","83844-2339","Room 136, Agricultural building, University of Idaho","Moscow","Idaho","83844-2339","urn:uuid:24f9d2d6-dfd5-4d3b-8f6c-37430596debb","","","","","","",46.729,-117.014,23745,"arthropoda"
"Cornell University","Insects","5975bbda-cd92-4084-8a09-ce1e28e6164f","{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""cuic""}","CUIC","","urn:uuid:c37ecab1-d103-49cc-98f0-97a2a67e4821","","http://cuic.entomology.cornell.edu","http://cuic.entomology.cornell.edu/collections-1.html","Apterygota, Ephemeroptera, Odonata, Polyneoptera, Psocodea and Thysanoptera, Hemiptera, Hymenoptera, Neuroptera, Coleoptera, Trichoptera, Lepidoptera, Mecoptera, Diptera and Strepsiptera","",7000000,NA,"Apterygota, Ephemeroptera, Odonata, Polyneoptera, Psocodea and Thysanoptera, Hemiptera, Hymenoptera, Neuroptera, Coleoptera, Trichoptera, Lepidoptera, Mecoptera, Diptera and Strepsiptera","","7000000","James Liebherr","Curator","jkl5@cornell.edu","Cornell University Insect Collection, Department of Entomology, Comstock Hall, Cornell University","Ithaca","New York","14853","Cornell University Insect Collection, Department of Entomology, Comstock Hall, Cornell University","Ithaca","New York","14853","urn:uuid:c44e9557-cab4-47c4-bbe2-0827022bc183","","","","","","",42.4435,-76.4944,23419,"arthropoda"
"Texas A&M University, Biodiversity Research and Teaching Collections","Marine Invertebrates","d3579463-3a9b-4016-bc10-53b966ffb521","{""recordset"":""d3579463-3a9b-4016-bc10-53b966ffb521""}","TCWC","Marine Invertebrates","urn:uuid:de3da9a3-bce4-4f58-89f0-24739cf112a8","","http://brtc.tamu.edu/collections/marine-invertebrates/","","Deep-sea invertebrates, especially decapod crustaceans; large holdings in mollusks, polychaetes, corals Gulf of Mexico, Caribbean, western Atlantic, small collection from Dubai, United Arab Emirates","",NA,NA,"Deep-sea invertebrates, especially decapod crustaceans; large holdings in mollusks, polychaetes, corals","Gulf of Mexico, Caribbean, western Atlantic, small collection from Dubai, United Arab Emirates","","Mary Wicksten","Curator","wicksten@bio.tamu.edu","Biodiversity Research and Teaching Collections, Department of Wildlife and Fisheries Sciences, TAMU 2258","College Station","Texas","77843-2258","Biodiversity Research and Teaching Collections, Department of Wildlife and Fisheries Sciences, TAMU 2258","College Station","Texas","77843-2258","urn:uuid:67ed2c89-ad4a-402e-8296-78107b9f148b","","","","","","",30.1484,-96.3107,22804,"arthropoda"
