"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon","count","type"
"Yale University, Peabody Museum of Natural History","Paleobotany","7ae4d15d-62e2-459b-842a-446f921b9d3f","{""recordset"":""7ae4d15d-62e2-459b-842a-446f921b9d3f""}","YPM","","urn:uuid:d6702499-0698-4069-bf5f-9312bef7ed16","","http://peabody.yale.edu/collections/paleobotany","http://peabody.yale.edu/collections/search-collections?pb","","",NA,NA,"","","","Shusheng Hu","Collections Manager","shusheng.hu@yale.edu","Yale University, PO Box 208118","New Haven","Connecticut","06511-0000","170-210 Whitney Avenue","New Haven","Connecticut","06511-0000","urn:uuid:8eb8c789-898c-4e9e-9c26-68768c612a6d","","","","","","",41.3167,-72.9204,93261,"plantae"
"Harvard University, New England Botanical Club Herbarium","Herbarium","7450a9e3-ef95-4f9e-8260-09b498d2c5e6","{""recordset"":[""7450a9e3-ef95-4f9e-8260-09b498d2c5e6""],""collectioncode"":[""NEBC""]}","Harvard University","NEBC","urn:uuid:c23a6c9e-bc67-4a51-930b-c0e31f685959","","http://www.huh.harvard.edu/collections/nebc.html","http://kiki.huh.harvard.edu/databases/specimen_index.html","New England","",253000,NA,"","New England","253000","Charles Davis","Curator","cdavis@oeb.harvard.edu","22 Divinity Ave.","Cambridge","Massachussetts","02138-0000","22 Divinity Ave.","Cambridge","Massachussetts","02138-0000","urn:uuid:ff15a920-4641-4fc6-ab56-d39d3b5112d3","","","","","","",42.3781,-71.1178,92825,"plantae"
"Desert Botanical Garden","Herbarium","c569e530-7322-40b8-9b66-1e0ed96fefcb","{""recordset"":""c569e530-7322-40b8-9b66-1e0ed96fefcb""}","DES<IH>","","urn:uuid:70302ef4-f780-458f-a252-cd7ca8bf44df","urn:lsid:biocol.org:col:15533","http://www.dbg.org/","","","",NA,NA,"","","","Wendy C. Hodgson","Curator","whodgson@dbg.org","Research Department, 1201 North Galvin Parkway","Phoenix","Arizona","85008","Research Department, 1201 North Galvin Parkway","Phoenix","Arizona","85008","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124402","","",33.4509,-111.9558,85945,"plantae"
"Florida State University, Robert K. Godfrey Herbarium","Herbarium","b2b294ed-1742-4479-b0c8-a8891fccd7eb","{""recordset"":""b2b294ed-1742-4479-b0c8-a8891fccd7eb""}","FSU<IH>","","urn:uuid:e66f276a-a7b7-4982-b9ca-e0a8259185a4","urn:lsid:biocol.org:col:15666","http://herbarium.bio.fsu.edu/index.php","http://herbarium.bio.fsu.edu/search-specimens.php","Plants and micro-algae Worldwide, but greatest coverage in southeastern U.S. (especially Florida), Central America (especially Costa Rica and Panama), and Gulf of Mexico","",220000,NA,"Plants and micro-algae","Worldwide, but greatest coverage in southeastern U.S. (especially Florida), Central America (especially Costa Rica and Panama), and Gulf of Mexico","220000","Austin Mast","Director","amast@bio.fsu.edu","Department of Biological Science, Department of Biological Science, Florida State University","Tallahassee","Florida","32306-4370","R. K. Godfrey Herbarium, Department of Biological Science, Florida State University","Tallahassee","Florida","32306-4370","urn:uuid:39718e27-4583-435a-9faf-d9f1d5bb491c","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124530","","",30.4402,-84.2955,84315,"plantae"
"Northern Arizona University, Colorado Plateau Biodiversity Center, Deaver Herbarium","Herbarium","b531ea59-025d-4c29-9d23-99ae75bcd55f","{""recordset"":""b531ea59-025d-4c29-9d23-99ae75bcd55f""}","ASC<IH>","NAU","urn:uuid:e050e61c-c34a-4445-8a33-c001a8cc85e9","urn:lsid:biocol.org:col:15857","http://nau.edu/Merriam-Powell/Biodiversity-Center/Deaver-Herbarium/","","","",NA,NA,"","","","Tina Ayers","Curator","Tina.Ayers@nau.edu","Deaver Herbarium, Department of Biological Science, PO Box 5640","Flagstaff","Arizona","86011","Colorado Plateau Biodiversity Center, Northern Arizona University, Campus Box 5640","Flagstaff","Arizona","86011","urn:uuid:f8665f24-4420-4d98-a7fc-c22095a687e9","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125549","","",35.1801,-111.655,83812,"plantae"
"Eastern Kentucky University, Ronald L. Jones Herbarium","Herbarium","20360fae-574a-4d63-b9f6-47b1cc07fd22","{""recordset"":""20360fae-574a-4d63-b9f6-47b1cc07fd22""}","EKY<IH>","","urn:uuid:16736c04-c79f-48a1-afc5-0bf9cc6d52f6","urn:lsid:biocol.org:col:12968","http://people.eku.edu/jonesron//herbarium/1about.php","","","",NA,NA,"","","","Brad R. Ruhfel","Curator","brad.ruhfel@eku.edu","Biological Sciences Department, 521 Lancaster Avenue, 170 Memorial Science Building","Richmond","Kentucky","40475-3102","","Richmond","Kentucky","40475-3102","urn:uuid:02e8a104-5073-482a-9c63-f9c34ac9c0f0","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124445","","",37.7649,-84.2969,81809,"plantae"
"Brown University","Herbarium","e5f57bb0-07ec-4405-90b6-dc89647a1cb5, 347579f4-d44a-4c8e-a578-09c2a8132573, 13510466-6232-4313-9e46-ea197b82750c","{""recordset"":[""e5f57bb0-07ec-4405-90b6-dc89647a1cb5"",""347579f4-d44a-4c8e-a578-09c2a8132573"",""13510466-6232-4313-9e46-ea197b82750c""]}","BRU<IH>","","urn:uuid:f8dc372c-6742-49a2-a602-78a352adfc15","urn:lsid:biocol.org:col:15210","http://www.brown.edu/research/projects/herbarium/","","","",NA,NA,"","","","Timothy Whitfeld","Collections Manager","Timothy_Whitfeld@brown.edu","Ecology & Evolutionary Biology, Box G-B255, 34 Olive Street","Providence","Rhode Island","02912-0000","Ecology & Evolutionary Biology, Box G-B255, 34 Olive Street","Providence","Rhode Island","02912-0000","urn:uuid:731da3c3-8f4d-4004-aa5e-b3099b72d896","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124134","","",41.8183,-71.3778,81762,"plantae"
"Clemson University, Bob and Betsy Campbell Museum of Natural History","Herbarium","264c48ec-8636-451f-a7e0-74131bc6f84c","{""recordset"":""264c48ec-8636-451f-a7e0-74131bc6f84c""}","CLEMS<IH>","","urn:uuid:38e74bca-03b3-4da9-b520-55091d74ea4e","urn:lsid:biocol.org:col:12826","http://www.clemson.edu/cafls/departments/biosci/facilities/campbell_museum.html","","","",NA,NA,"","","","Dixie Damrel","Curator","DDAMREL@CLEMSON.EDU","Biological Sciences Department, 132 Long Hall","Clemson","South Carolina","29634","Biological Sciences Department, 132 Long Hall","Clemson","South Carolina","29634","urn:uuid:8b572ce2-3fa6-4c9f-86b7-bf4bdf6364ae","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124295","","",34.206,-82.1771,79609,"plantae"
"Boise State University, Snake River Plains Herbarium","Vascular Plants","f84d528a-7d08-467e-b532-ace707316f1d","{""recordset"":""f84d528a-7d08-467e-b532-ace707316f1d""}","SRP<IH>","","urn:uuid:99a9c6f6-cdd1-4af2-8559-dad4fe47306e","","https://biology.boisestate.edu/snake-river-plains/","","","",NA,NA,"","","","James F. Smith","Director","jfsmith@boisestate.edu","Biology Department, 1910 University Drive","Boise","Idaho","83725-1515","Biology Department, 1910 University Drive","Boise","Idaho","83725-1515","urn:uuid:1fabd878-a432-414c-96e8-e5c020db998b","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124064","","",43.6015,-116.2023,79201,"plantae"
"University of Mississippi, Thomas M. Pullen Herbarium","Herbarium","5e29dbcc-ce45-4f05-9bb0-212baffa8932","{""recordset"":""5e29dbcc-ce45-4f05-9bb0-212baffa8932""}","MISS<IH>","","urn:uuid:b152bf16-fab4-4a3f-920d-ab0078c656bc","urn:lsid:biocol.org:col:15060","http://www.herbarium.olemiss.edu/","","","",NA,NA,"","","","Lucile M. McCook","Curator","bymccook@olemiss.edu","Department of Biology, P.O. Box 1848","University","Mississippi","38677-1848","Department of Biology, P.O. Box 1848","University","Mississippi","38677-1848","urn:uuid:51064947-2867-48e8-b875-da42eef51d9b","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126740","","",34.3654,-89.5372,75671,"plantae"
"Valdosta State University","Herbarium","2bbafa00-3162-4e8e-947c-64a13b8d3fef, 76fd34da-4892-4821-858d-98fe9e28ba8b","{""recordset"":[""2bbafa00-3162-4e8e-947c-64a13b8d3fef"",""76fd34da-4892-4821-858d-98fe9e28ba8b""]}","VSC<IH>","","urn:uuid:78a8d9fe-7237-44e2-aac0-c166503b0967","urn:lsid:biocol.org:col:15754","http://www.valdosta.edu/~rcarter/herbintro.htm","http://herb.valdosta.edu/","Cyperaceae, pteridophytes, bryophytes Primarily southeastern United States with emphasis on Georgia","",71000,NA,"Cyperaceae, pteridophytes, bryophytes","Primarily southeastern United States with emphasis on Georgia","71000","Richard Carter","Director","rcarter@valdosta.edu","Biology Department, 2035 Bailey Science Center","Valdosta","Georgia","31698-0015","Biology/Chemistry Building, Room 1040.","Valdosta","Georgia","31698-0015","urn:uuid:baecdfdb-d57a-4e68-ac1a-ddb58bbca26b","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126935","","",30.8485,-83.2878,73052,"plantae"
"University of Montana Herbarium","Herbarium","7340c0df-8829-4197-9dc7-0328b8e7f5dd, 844875a9-9927-48a5-90b4-76c5f227f145","{""recordset"":[""7340c0df-8829-4197-9dc7-0328b8e7f5dd"",""844875a9-9927-48a5-90b4-76c5f227f145""]}","MONTU<IH>","","urn:uuid:22de2610-315f-4e03-a45c-31defd9b8f45","urn:lsid:biocol.org:col:15655","http://herbarium.dbs.umt.edu/","","Extensive collections from the montane, subalpine and alpine zones dating back to the late 1800's. Montana and the northern Rocky Mountains","",130000,NA,"Extensive collections from the montane, subalpine and alpine zones dating back to the late 1800's.","Montana and the northern Rocky Mountains","130000","Shannon Kimball","Curator/Collection Manager","shannon.kimball@mso.umt.edu","Biological Sciences Division, University of Montana","Missoula","Montana","59812","303 Natural Science Building.","Missoula","Montana","59812-1002","urn:uuid:b097d202-890b-43ab-b634-7c6605ae858c","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126742","","",47.116,-114.0498,72588,"plantae"
"Institute for Botanical Exploration","Herbarium","5a660a44-afdd-45ac-8c48-1a6c570ce0b5","{""recordset"":""5a660a44-afdd-45ac-8c48-1a6c570ce0b5""}","IBE<IH>","","urn:uuid:d0f95001-b7bb-424c-bd99-edf778477d0e","","","","","",235000,NA,"","","","Dr. Lucille McCook","","bymccook@olemiss.edu","","University","Mississippi","38677","","University","Mississippi","38677","urn:uuid:7e59349e-c94d-423d-965b-be9426734cce","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126502","","",34.3647,-89.5384,71068,"plantae"
"Field Museum of Natural History","Pteridophytes","f00b6a32-5337-406b-a850-17f5d78470ad","{""recordset"":""f00b6a32-5337-406b-a850-17f5d78470ad""}","F<IH>","Botany","urn:uuid:a89e2fc0-c8fa-4b00-abdd-4841933e0122","","http://fieldmuseum.org/explore/department/botany/bryophytes","http://emuweb.fieldmuseum.org/botany/search_bryo.php","Central and South America, temperate Australasian, North America, Europe","",200000,TRUE,"","Central and South America, temperate Australasian, North America, Europe","200000","Matt von Konrat","Collections Manager & Adjunct Curator","mvonkonrat@fieldmuseum.org","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","urn:uuid:ea4f0640-ef20-40aa-b359-166f07c7492a","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124518","","",41.8691,-87.6176,70784,"plantae"
"University of Wisconsin-Stevens Point, Robert W. Freckmann Herbarium","Vascular Plants","3998ec8d-4aae-46db-9370-179c19b69356","{""recordset"":""3998ec8d-4aae-46db-9370-179c19b69356""}","UWSP<IH>","VP","urn:uuid:5d1ffc75-6099-454d-8908-ea9e2180d235","urn:lsid:biocol.org:col:14667","http://wisplants.uwsp.edu","","","",NA,NA,"","","","Emmet Judziewicz","Curator","ejudziew@uwsp.edu","Department of Biology, 301 Daniel O. Trainer Natural Resource Building","Stevens Point","Wisconsin","54881","College of Natural Resource Building, rooms 304 and 310.","Stevens Point","Wisconsin","54481-3897","urn:uuid:558015a4-f399-480f-9710-f760247e2241","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126898","","",44.5243,-89.5767,67968,"plantae"
"Denver Botanic Gardens, Kathryn Kalmbach Herbarium","Herbarium","5835f642-2560-4e3e-9c25-741a12cc3fe8","{""recordset"":""5835f642-2560-4e3e-9c25-741a12cc3fe8""}","KHD<IH>","KHD","urn:uuid:f06c8109-e7df-49f8-917f-a8a549dca5b0","urn:lsid:biocol.org:col:15415","http://www.botanicgardens.org/research-conservation/kathryn-kalmbach-herbarium","http://swbiodiversity.org/seinet/index.php","","",NA,NA,"","","","Jennifer Ramp Neale","Director of Research and Conservation","nealejr@botanicgardens.org","1007 York Street","Denver","Colorado","80206","1007 York Street","Denver","Colorado","80206","urn:uuid:e6c11c15-8861-47bb-8f5a-5fed3a49a07c","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124388","","",39.7328,-104.9599,66999,"plantae"
"University of Texas at El Paso Biodiversity Collections","Plants","e36691ec-c4f8-4bec-b331-b48ffa82ff49","{""recordset"":""e36691ec-c4f8-4bec-b331-b48ffa82ff49""}","UTEP","Plant specimens","urn:uuid:93ab2a45-8a5a-4211-9cd9-4fc7587d5ec8","http://grbio.org/cool/x3bx-p32x","http://museum.utep.edu/","http://admin.utep.edu/Default.aspx?tabid=60237","","",NA,NA,"","","","Teresa Mayfield","Collection Manager","UTEPBC@utep.edu","500 West University Avenue, Biology B222","El Paso","Texas","79968","500 West University Avenue, Biology B222","El Paso","Texas","79968","urn:uuid:b6552df9-f46a-4384-a956-d6b0c7e86b54","","","","","","",31.77,-106.5054,66049,"plantae"
"Iowa State University, Ada Hayden Herbarium","Herbarium","4b92de1f-866d-4b82-af69-37d46753f289, cf641fbf-fa31-481a-993b-9204f2ee1884, 531537fc-6349-4a20-ae42-540d61797086","{""recordset"":[""4b92de1f-866d-4b82-af69-37d46753f289"",""cf641fbf-fa31-481a-993b-9204f2ee1884"",""531537fc-6349-4a20-ae42-540d61797086""]}","ISC<IH>, IA<IH>","","urn:uuid:14b0d827-6b1e-4764-a15c-04880d11fe21","urn:lsid:biocol.org:col:15619","http://www.herbarium.iastate.edu/","http://www.herbarium.iastate.edu/herbarium/Herbariumsearch.html","Iowa plants (all taxa), fungi and lichens; Poaceae (including Bambusoideae, worldwide); Fabaceae of the United States; bryophytes of North America Iowa; Midwestern United States; North America; worldwide","",640000,NA,"Iowa plants (all taxa), fungi and lichens; Poaceae (including Bambusoideae, worldwide); Fabaceae of the United States; bryophytes of North America","Iowa; Midwestern United States; North America; worldwide","640000","Deborah Q. Lewis","Curator","dlewis@iastate.edu","EEOB Department, 342 Bessey Hall","Ames","Iowa","50011-1020","Stange Road and Osborn Drive.","Ames","Iowa","50011-1020","urn:uuid:60c390ff-96ec-4703-9f22-fc21cdf9fc39","","","","","","",42.0364,-93.6447,64849,"plantae"
"Montana State University Herbarium","Herbarium","9d2a4189-6048-46e9-bac4-e5ef566334bb, 9b725e43-93c9-423b-adf8-a11d08a83d13","{""recordset"":[""9d2a4189-6048-46e9-bac4-e5ef566334bb"",""9b725e43-93c9-423b-adf8-a11d08a83d13""]}","MONT<IH>","","urn:uuid:ff39c535-b0c8-4956-b38b-1486985ed3e7","urn:lsid:biocol.org:col:15082","http://www.montana.edu/mlavin/herb/herb1.htm","","","",NA,NA,"","","","Matt Lavin","Curator","mlavin@montana.edu","119 Plant Bioscience Building","Bozeman","Montana","59717","119 Plant Bioscience Building, Plant Sciences and Plant Pathology","Bozeman","Montana","59717","urn:uuid:1b3b2264-fbe7-444b-bc28-130f0e409c90","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125289","","",45.628,-110.9013,62147,"plantae"
"University of Florida, Florida Museum of Natural History","Paleobotany","0e162e0a-bf3e-4710-9357-44258ca12abb","{""recordset"":""0e162e0a-bf3e-4710-9357-44258ca12abb""}","UF","Paleobotany","urn:uuid:95d1da3f-97c0-4b6c-bf71-a8b56232c90a","","http://www.flmnh.ufl.edu/paleobotany/","","Cretaceous-Tertiary angiosperms, including leaves, fruits, seeds, flowers, pollen and wood Cretaceous of the US western interior, Cretaceous and Eocene of southeastern North America, Eocene and Oligocene of the Pacific northwest, and Pennsylvanian of Indiana and Illinois.","",250000,NA,"Cretaceous-Tertiary angiosperms, including leaves, fruits, seeds, flowers, pollen and wood","Cretaceous of the US western interior, Cretaceous and Eocene of southeastern North America, Eocene and Oligocene of the Pacific northwest, and Pennsylvanian of Indiana and Illinois.","250000","Steven R. Manchester","Curator","steven@flmnh.ufl.edu","Division of Paleobotany & Palynology, Florida Museum of Natural History, 1659 Museum Road","Gainesville","Florida","32611-7800","Division of Paleobotany & Palynology, Florida Museum of Natural History, 1659 Museum Road","Gainesville","Florida","32611-7800","urn:uuid:7d736005-0375-4b30-8724-555fa4ed1b46","","","","","","",29.5115,-82.2815,58874,"plantae"
"Ohio State University, Museum of Biological Diversity","Herbarium","6b565194-9707-42da-8052-9f9cf5f9aa60, ce02a047-625d-4017-aeef-2c34e53824c8, 23a47a5f-2ac1-4f81-acd3-21d5b82ed22a","{""recordset"":[""6b565194-9707-42da-8052-9f9cf5f9aa60"",""ce02a047-625d-4017-aeef-2c34e53824c8"",""23a47a5f-2ac1-4f81-acd3-21d5b82ed22a""]}","OS<IH>","","urn:uuid:d2456a0d-2639-4997-8323-944ed8967817","urn:lsid:biocol.org:col:15620","http://herbarium.osu.edu/","","","",NA,NA,"","","","Cynthia Dassler","Curator","dassler.1@osu.edu","1315 Kinnear Road","Columbus","Ohio","43212","","Columbus","Ohio","43212","urn:uuid:5f0e4e8a-184f-49fb-95b5-09af872598f2","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125593","","",39.9871,-83.0428,55900,"plantae"
"University of Maryland, Norton Brown Herbarium","Herbarium","e6eba8cd-fa2c-4ba2-bec0-6841e7633695","{""recordset"":""e6eba8cd-fa2c-4ba2-bec0-6841e7633695""}","MARY<IH>","","urn:uuid:5101d085-e1c2-4fc8-bc6b-d945b494c7dc","urn:lsid:biocol.org:col:15717","http://www.nbh.psla.umd.edu","http://sciweb.nybg.org/science2/herbarium_imaging/typedefinition.asp.html","","",NA,NA,"","","","John Hall","Curator","jdhall@umd.edu","1114 Research Greenhouse Complex","College Park","Maryland","20742-4452","1114 Research Greenhouse Complex","College Park","Maryland","20742-4452","urn:uuid:583c0822-2ff4-4be0-966d-48e04ac1ca6c","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126725","","",39.0156,-76.8788,54344,"plantae"
"College of Idaho, Harold M. Tucker Herbarium","Herbarium","ec4acc26-ff1b-4131-a1df-a950fe31bb0e","{""recordset"":""ec4acc26-ff1b-4131-a1df-a950fe31bb0e""}","CIC<IH>","","urn:uuid:0a1dd71d-99db-4d1c-aaa2-d19fc59981e1","urn:lsid:biocol.org:col:15739","http://www.collegeofidaho.edu/herbarium","http://www.collegeofidaho.edu/herbarium/database","","",NA,NA,"","","","Don Mansfield","Curator","dmansfield@collegeofidaho.edu","Boone Science Hall, 2112 Cleveland Blvd","Caldwell","Idaho","83605","Boone Science Hall, 2112 Cleveland Blvd","Caldwell","Idaho","83605","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=123931","","",43.6642,-116.7007,52416,"plantae"
"University of Texas at Austin, Plant Resource Center, Lundell Herbarium","Herbarium","c5b7dae8-b483-4742-9954-d7f9226daa34","{""recordset"":""c5b7dae8-b483-4742-9954-d7f9226daa34""}","LL<IH>","","urn:uuid:4fb7a019-2f97-4188-bf20-a10dad67487b","urn:lsid:biocol.org:col:14627","http://prc-symbiota.tacc.utexas.edu","","","",NA,NA,"","","","Tom Wendt","Curator","twendt@mail.utexas.edu","Plant Resources Center, Main Building, Room 127, 110 Inner Campus Dr. Stop F0404","Austin","Texas","78712-1711","127 Main Building","Austin","Texas","78712-1711","urn:uuid:59ac3cdc-5938-49b0-9429-2cb1e80d22b6","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126842","","",30.2862,-97.7416,52065,"plantae"
"Muhlenberg College","Herbarium","005ac06a-3d9a-46ad-ac3c-062aaa5b7059","{""recordset"":""005ac06a-3d9a-46ad-ac3c-062aaa5b7059""}","MCA<IH>","","urn:uuid:b2bdb741-8c9b-4afd-afe9-759c6708e7d0","urn:lsid:biocol.org:col:13615","","","","",NA,NA,"","","","Richard Niesenbaum","Director","niesenba@muhlenberg.edu","Biology Department","Allentown","Pennsylvania","18104-5586","Chew Street.","Allentown","Pennsylvania","18104-5586","urn:uuid:7695e47a-4050-4c71-891e-0fb32963f716","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125309","","",40.5883,-75.5394,51496,"plantae"
"Emporia State University, H.A. Stephens Herbarium","Herbarium","5baa1d0c-cfc0-4c89-8e3e-7a49359b0caa","{""recordset"":""5baa1d0c-cfc0-4c89-8e3e-7a49359b0caa""}","KSTC<IH>","","urn:uuid:6b03cc3d-f92f-4dae-94d3-ed1cbf1b067c","urn:lsid:biocol.org:col:12991","http://www.emporia.edu/smnh/herbarium/","","","",50000,NA,"","","50000","Jean H. Schulenberg","Curator","jschulen@emporia.edu","Department of Biological Sciences, 1200 Commercial","Emporia","Kansas","66801-5087","Department of Biological Sciences, 1200 Commercial","Emporia","Kansas","66801-5087","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124476","","",38.3966,-96.1802,50877,"plantae"
"Butler University","Herbarium","be31dfd1-c721-4697-8ee0-f7043c070810, 7cea906d-ae65-420c-a6f7-a9a3ad64fb93","{""recordset"":[""be31dfd1-c721-4697-8ee0-f7043c070810"",""7cea906d-ae65-420c-a6f7-a9a3ad64fb93""]}","BUT<IH>","","urn:uuid:88d5cf36-0656-4e0f-ac88-fde80aad62b3","urn:lsid:biocol.org:col:15725","http://www.butler.edu/herbarium","","","",100000,NA,"","","100000","Rebecca W. Dolan","Director","rdolan@butler.edu","4600 Sunset Ave","Indianapolis","Indiana","46208","4600 Sunset Avenue.","Indianapolis","Indiana","46208","urn:uuid:2d9db091-5073-4338-9bed-b98e77ce0951","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124152","","",39.8394,-86.1689,47901,"plantae"
"Longwood University","Herbarium","a16dc8d8-ff4a-4d62-a684-2937fb292b8d","{""recordset"":""a16dc8d8-ff4a-4d62-a684-2937fb292b8d""}","FARM<IH>","","urn:uuid:246ffa95-10ea-4e61-b379-6d8546ea2c96","urn:lsid:biocol.org:col:13517","","","","",NA,NA,"","","","Erika Gonzales","Director, Curator","gonzalezacevedoeb@longwood.edu","Department of Biological and Environmental Science, 201 High St.","Farmville","Virginia","23909-1899","201 High St.","Farmville","Virginia","23909-1899","urn:uuid:1547a1be-6a0d-41af-a66b-40ccaadd8164","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125175","","",37.3016,-78.3942,47317,"plantae"
"Idaho State University, Idaho Museum of Natural History, Ray J. Davis Herbarium","Herbarium","8728ef71-fdcc-4027-8139-38b2c0628fba, dd232f5c-7f53-48ec-9bb7-7205702c3dc8","{""recordset"":[""8728ef71-fdcc-4027-8139-38b2c0628fba"",""dd232f5c-7f53-48ec-9bb7-7205702c3dc8""]}","IDS<IH>","","urn:uuid:c24db883-747e-4cac-9e64-8e9d6e11f011","urn:lsid:biocol.org:col:15691","http://imnh.isu.edu/home/index.php/collections-and-research/division-of-life-sciences/the-botany-collection/","http://www.pnwherbaria.org","Herbarium collection formed basis for ""Flora of Idaho"" by R.J. Davis (1955), now out of print.  Idaho, particularly SE Idaho, and surrounding states.","",70000,NA,"Herbarium collection formed basis for ""Flora of Idaho"" by R.J. Davis (1955), now out of print.","Idaho, particularly SE Idaho, and surrounding states.","70000","Rick Williams","Curator","willcha2@isu.edu","698 E Dillon St","Pocatello","Idaho","83209","698 E Dillon St","Pocatello","Idaho","83209","urn:uuid:745193bd-b8ac-4649-8860-ba94ca126dcf","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124797","","",42.8597,-112.4337,43116,"plantae"
"Western Illinois University, R.M. Myers Herbarium","Herbarium","43aa1339-67e4-4298-b7c5-3d0f201266ef","{""recordset"":""43aa1339-67e4-4298-b7c5-3d0f201266ef""}","MWI<IH>","","urn:uuid:68206218-0f1b-4589-aab1-cbb885232af1","urn:lsid:biocol.org:col:14737","http://faculty.wiu.edu/E-Ribbens/MWI.html","","","",NA,NA,"","","","Eric Ribbens","","E-Ribbens@wiu.edu","Biological Sciences Department, Western Illinois University","Macomb","Illinois","61455","Biological Sciences Department, Western Illinois University","Macomb","Illinois","61455","urn:uuid:df1e6710-b31e-401e-b73e-5113723d770f","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=127001","","",40.4729,-90.673,42498,"plantae"
"University of Cincinnati, Margaret H. Fulford Herbarium","Herbarium","540e18dc-09aa-4790-8b47-8d18ae86fabc, 1701a75c-5a57-48c3-84c2-234a53f4c3e2","{""recordset"":[""540e18dc-09aa-4790-8b47-8d18ae86fabc"",""1701a75c-5a57-48c3-84c2-234a53f4c3e2""]}","CINC<IH>","","urn:uuid:bee4ab6d-0d37-4119-bf47-6b6f155f4948","urn:lsid:biocol.org:col:14497","","","","",NA,NA,"","","","","","","Biological Sciences Department","Cincinnati","Ohio","45221-0006","1600 Crosley Tower, Martin Luther King Drive and Snake Road.","Cincinnati","Ohio","45221-0006","urn:uuid:e4b65047-f5b5-4cba-808b-b5f57af2f91e","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126639","","",39.2344,-84.4665,42165,"plantae"
"Marshall University","Herbarium","8f689b8b-5b65-4638-9555-f2a5d237a624","{""recordset"":""8f689b8b-5b65-4638-9555-f2a5d237a624""}","MUHW<IH>","","urn:uuid:b5b3ccd7-1cf0-43ef-a06c-c4b43aa7c1da","urn:lsid:biocol.org:col:13555","","https://sernec.appstate.edu/","","",40000,NA,"","","40,000","Emily Gillespie","Curator","gillespiee@marshall.edu","Department of Biological Sciences","Huntington","West Virginia","25755","One John Marshall Drive","Huntington","West Virginia","25755","urn:uuid:c14ca67d-255e-4b69-8ba2-88f6090f1b6b","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125223","","",38.4234,-82.432,41987,"plantae"
"New York State Museum","Herbarium","82bcf2f2-b2d6-45a5-b0ca-d70d8ab4ebf8, 237bd113-32f3-4091-9710-4a1b074fe26d","{""recordset"":[""82bcf2f2-b2d6-45a5-b0ca-d70d8ab4ebf8"",""237bd113-32f3-4091-9710-4a1b074fe26d""]}","NYS","","urn:uuid:d5073077-b5c2-421e-96ae-eeb318fe09cc","urn:lsid:biocol.org:col:13766","http://www.nysm.nysed.gov/research_collections/collections/biology/herbarium.html","","","",NA,NA,"","","","Diana Hurlbut","","dhurlbut@mail.nysed.gov","Cultural Education Center, 222 Madison Avenue","Albany","New York","12230","Cultural Education Center, 222 Madison Avenue","Albany","New York","12230","urn:uuid:457178bf-70b8-4bce-916f-829d2ad5b3ff","","","","","","",42.6455,-73.7536,41387,"plantae"
